ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
A002C212	CRC	GSE207951	A002C212	1	37133694	Normal	Digestive System
A014C004	CRC	GSE207951	A014C004	1	23461480	Normal	Digestive System
A014C012	CRC	GSE207951	A014C012	1	27012653	Normal	Digestive System
A014C038	CRC	GSE207951	A014C038	1	30727910	Normal	Digestive System
A014C040	CRC	GSE207951	A014C040	1	27325260	Normal	Digestive System
A014C041	CRC	GSE207951	A014C041	1	26347685	Normal	Digestive System
A014C045	CRC	GSE207951	A014C045	1	25901511	Normal	Digestive System
A014C046	CRC	GSE207951	A014C046	1	23575365	Normal	Digestive System
A014C053	CRC	GSE207951	A014C053	1	20659490	Normal	Digestive System
A014C054	CRC	GSE207951	A014C054	1	26085933	Normal	Digestive System
A015C004	CRC	GSE207951	A015C004	1	17699132	Normal	Digestive System
A015C006	CRC	GSE207951	A015C006	1	41766223	Normal	Digestive System
A015C010	CRC	GSE207951	A015C010	1	44039431	Normal	Digestive System
A172	GBM	GSE147123	A172	0	25675499	Solid Tumor	Central Nervous System
A172_2	GBM	PRJNA532762	A172	0	127457433	Solid Tumor	Central Nervous System
A2058	MEL	GSE147123	A2058	0	29494725	Solid Tumor	Neural crest derived tumors
A375	MEL	GSE143676	A375	0	49060471	Solid Tumor	Neural crest derived tumors
A375_2	MEL	GSE275396	A375-Clone3-ITGB4neg	0	47067508	Solid Tumor	Neural crest derived tumors
A375_3	MEL	GSE275396	A375-Clone3-ITGB4pos	0	60432057	Solid Tumor	Neural crest derived tumors
A375_4	MEL	GSE275396	A375-Parental-ITGB4neg	0	119518311	Solid Tumor	Neural crest derived tumors
A375_5	MEL	GSE275396	A375-Parental-ITGB4pos	0	128114382	Solid Tumor	Neural crest derived tumors
A549	NSCLC	GSE164533	A549-ACE2	0	32992182	Solid Tumor	Epithelial tumors
A549_2	NSCLC	GSE168233	A549	0	73013424	Solid Tumor	Epithelial tumors
A549_3	NSCLC	GSE179184	A549-hACE2	0	110223413	Solid Tumor	Epithelial tumors
A549_4	NSCLC	PRJCA000333	A549	0	58561160	Solid Tumor	Epithelial tumors
A673	ES	GSE185125	A673	0	66403987	Solid Tumor	Mesenchymal tumors
AA86	AA	GSE81879	AA86	0	6968351	Solid Tumor	Central Nervous System
ABC-DLBCL	DLBCL	GSE168470	ABC-DLBCL	0	104838262	Hematological (Lymphoma)	Hematological
ACHN	RCC	GSE59395	ACHN	0	38119272	Solid Tumor	Urinary System
ALL_PDX17	ALL	GSE145997	ALL_PDX17	0	63639853	Hematological (Leukemia)	Hematological
ALL_PDX19	ALL	GSE145997	ALL_PDX19	0	47101158	Hematological (Leukemia)	Hematological
ALL_PDX23	ALL	GSE145997	ALL_PDX23	0	94214218	Hematological (Leukemia)	Hematological
ALL_PDX29	ALL	GSE145997	ALL_PDX29	0	79135914	Hematological (Leukemia)	Hematological
ALL_PDX31	ALL	GSE145997	ALL_PDX31	0	66037266	Hematological (Leukemia)	Hematological
ALL_PDX34	ALL	GSE145997	ALL_PDX34	0	96874337	Hematological (Leukemia)	Hematological
ALL_PDX40	ALL	GSE145997	ALL_PDX40	0	77855379	Hematological (Leukemia)	Hematological
ARPE19	RB	GSE230795	ARPE19	1	116627688	Normal	Central Nervous System
ATMhTERT	MEL	GSE136899	ATMhTERT	1	44251768	Normal	Neural crest derived tumors
B_lymphocytes	B-ALL	GSE105776	B_lymphocytes	1	164059556	Normal	Hematological
B-ALL	B-ALL	GSE138862	B-ALL_minus27	0	43633422	Hematological (Leukemia)	Hematological
B-ALL_2	B-ALL	GSE138862	B-ALL_minus35	0	57813204	Hematological (Leukemia)	Hematological
B-ALL_3	B-ALL	GSE138862	B-ALL_plus27	0	51564319	Hematological (Leukemia)	Hematological
B-ALL_4	B-ALL	GSE138862	B-ALL_plus35	0	46342951	Hematological (Leukemia)	Hematological
B-ALL_5	B-ALL	GSE73924	B-ALL	0	9656525	Hematological (Leukemia)	Hematological
BC1	B-ALL	GSE163696	BC1_latent	0	26909772	Hematological (Leukemia)	Hematological
BC3	B-ALL	GSE163696	BC3_latent	0	28215000	Hematological (Leukemia)	Hematological
BCBL1	B-ALL	GSE163696	BCBL-1_latent	0	14703229	Hematological (Leukemia)	Hematological
BCBL1_2	B-ALL	GSE163696	BCBL-1_reactivated	0	25188713	Hematological (Leukemia)	Hematological
BJ1	MEL	GSE136899	BJ1	1	36805047	Normal	Neural crest derived tumors
BJ5ta	MEL	GSE136899	BJ5ta	1	30997464	Normal	Neural crest derived tumors
BL	HCC	GSE120023	BL	0	17396438	Solid Tumor	Digestive System
BL_2	HCC	GSE120023	BL_RBM25-KD	0	16221796	Solid Tumor	Digestive System
Bladder_Tissue	BLCA	GSE87112	Bladder_Tissue	1	64163034	Normal	Urinary System
BT20	BRCA	GSE147123	BT-20	0	31298685	Solid Tumor	Reproductive System
BT474	BRCA	GSE109229	BT474	0	48681670	Solid Tumor	Reproductive System
BT483	BRCA	GSE55634	BT483	0	54865664	Solid Tumor	Reproductive System
BT549	BRCA	GSE147123	BT-549	0	31693598	Solid Tumor	Reproductive System
BT549_2	BRCA	GSE167150	BT-549	0	52101408	Solid Tumor	Reproductive System
C42B	PRAD	GSE118629	C42B	0	139881355	Solid Tumor	Reproductive System
C42B_2	PRAD	GSE204996	C42B	0	139881355	Solid Tumor	Reproductive System
CACO2	CRC	GSE35585	Caco-2	0	134351581	Solid Tumor	Digestive System
CALL4	B-ALL	GSE73924	CALL4	0	5809481	Hematological (Leukemia)	Hematological
CALU3	NSCLC	GSE237356	Calu3	0	142080413	Solid Tumor	Epithelial tumors
CAOV3	OV	GSE147123	Caov-3	0	8710685	Solid Tumor	Reproductive System
CCRFCEM	TALL	GSE147123	CCRF-CEM	0	39869205	Hematological (Leukemia)	Hematological
